0.001042,-0.002605,0.007954
0.006622,-0.006701,0.013245
0.007537,-0.003506,0.010796
0.008684,0.000656,0.011291
0.009754,0.002147,0.011419
0.009608,0.008425,0.011991
0.010644,0.012485,0.011851
0.011937,0.013177,0.006429
0.011506,0.007468,-0.006152
0.014323,-0.003212,-0.013990
0.014340,-0.004266,-0.012957
0.014210,-0.001858,-0.013389
0.011585,-0.001868,-0.013368
0.003914,-0.000998,-0.011553
-0.000857,-0.006923,-0.007513
0.006940,-0.005684,-0.001989
0.008445,0.000989,-0.005643
-0.000043,0.000047,0.000498
0.000000,0.000007,-0.000004
0.000002,0.000004,0.000001
